Entry.name	Entry (UniProtAC)	Protein Name	Gene names
TBB8_HUMAN	Q3ZCM7	Tubulin beta-8 chain (Tubulin beta 8 class VIII)	TUBB8
ACTG_HUMAN	P63261	"Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]"	ACTG1; ACTG
ACTB_HUMAN	P60709	"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]"	ACTB
ACTC_HUMAN	P68032	"Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]"	ACTC1; ACTC
ACTS_HUMAN	P68133	"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]"	ACTA1; ACTA
ACTN4_HUMAN	O43707	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4
ACTN1_HUMAN	P12814	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1
K1H1_MOUSE	Q61765	"Keratin, type I cuticular Ha1 (HKA-1) (Hair keratin, type I Ha1) (Keratin-31) (K31)"	Krt31; Hka1; Krt1-1; Krtha1
SPA34_BOVIN	A2I7N0	Serpin A3-4	SERPINA3-4
SPA35_BOVIN	A2I7N1	Serpin A3-5	SERPINA3-5
SPA37_BOVIN	A2I7N3	Serpin A3-7	SERPINA3-7
K1C39_MOUSE	Q6IFX4	"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"	Krt39; Ka35
DMKN_HUMAN	Q6E0U4	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN; UNQ729/PRO1411
DMKN_HUMAN	Q6E0U4	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN; UNQ729/PRO1411
KRT86_HUMAN	O43790	"Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)"	KRT86; KRTHB6
KT33A_HUMAN	O76009	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	KRT33A; HHA3-I; HKA3A; KRTHA3A
KRT34_HUMAN	O76011	"Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)"	KRT34; HHA4; HKA4; KRTHA4
KRT36_HUMAN	O76013	"Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)"	KRT36; HHA6; HKA6; KRTHA6
KRT38_HUMAN	O76015	"Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8) (Keratin-38) (K38)"	KRT38; HHA8; HKA8; KRTHA8
K2C75_HUMAN	O95678	"Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)"	KRT75; K6HF; KB18
THRB_HUMAN	P00734	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2
THRB_BOVIN	P00735	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2
PLMN_HUMAN	P00747	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]"	PLG
TRYP_PIG	P00761	Trypsin (EC 3.4.21.4)	
CTRA_BOVIN	P00766	Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]	
AMBP_BOVIN	P00978	Protein AMBP [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (BI-14) (Bikunin) (Cumulus extracellular matrix-stabilizing factor) (ESF) (HI-30); Trypstatin]	AMBP; ITIL
ANT3_HUMAN	P01008	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1; AT3; PRO0309
A2MG_HUMAN	P01023	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M; CPAMD5; FWP007
CO4_BOVIN	P01030	Complement C4 [Cleaved into: Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain]	C4
CO5_HUMAN	P01031	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5; CPAMD4
KNG1_BOVIN	P01044	Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]	KNG1
KNG2_BOVIN	P01045	Kininogen-2 (Kininogen II) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-2 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-2 light chain]	KNG2
HBA_BOVIN	P01966	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA
HBAZ_HUMAN	P02008	Hemoglobin subunit zeta (HBAZ) (Hemoglobin zeta chain) (Zeta-globin)	HBZ; HBZ2
HBB_BOVIN	P02070	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: Spinorphin]	HBB
CO3A1_HUMAN	P02461	Collagen alpha-1(III) chain	COL3A1
K1C14_HUMAN	P02533	"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)"	KRT14
K1C10_MOUSE	P02535	"Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)"	Krt10; Krt1-10
K2C6A_HUMAN	P02538	"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)"	KRT6A; K6A; KRT6D
PROF1_BOVIN	P02584	Profilin-1 (Profilin I)	PFN1
APOA1_HUMAN	P02647	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1
APOE_HUMAN	P02649	Apolipoprotein E (Apo-E)	APOE
CASA1_BOVIN	P02662	Alpha-S1-casein (allergen Bos d 8) [Cleaved into: Antioxidant peptide]	CSN1S1
CASA2_BOVIN	P02663	Alpha-S2-casein [Cleaved into: Casocidin-1 (Casocidin-I)]	CSN1S2
CASB_BOVIN	P02666	Beta-casein [Cleaved into: Casoparan; Antioxidant peptide; Casohypotensin]	CSN2
CASK_BOVIN	P02668	Kappa-casein [Cleaved into: Casoxin-C; Casoxin-6; Casoxin-A; Casoxin-B; Casoplatelin]	CSN3; CSN10; CSNK
FIBA_HUMAN	P02671	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA
FIBA_BOVIN	P02672	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA
FIBB_HUMAN	P02675	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB
FIBB_BOVIN	P02676	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB
CO9_HUMAN	P02748	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	C9
LACB_BOVIN	P02754	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	LGB
FETUA_HUMAN	P02765	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	AHSG; FETUA; PRO2743
ALBU_HUMAN	P02768	Albumin	ALB; GIG20; GIG42; PRO0903; PRO1708; PRO2044; PRO2619; PRO2675; UNQ696/PRO1341
ALBU_HUMAN	P02768	Albumin	ALB; GIG20; GIG42; PRO0903; PRO1708; PRO2044; PRO2619; PRO2675; UNQ696/PRO1341
ALBU_BOVIN	P02769	Albumin (BSA) (allergen Bos d 6)	ALB
FETA_HUMAN	P02771	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP; HPAFP
MT2_HUMAN	P02795	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)	MT2A; CES1; MT2
VTNC_HUMAN	P04004	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VTN
CO3A1_BOVIN	P04258	Collagen alpha-1(III) chain	COL3A1
K2C1_HUMAN	P04264	"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)"	KRT1; KRTA
AMY1A_HUMAN	P0DUB6	"Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)"	AMY1A; AMY1
AMY1B_HUMAN	P0DTE7	Alpha-amylase 1B (EC 3.2.1.1)	AMY1B; AMY1
AMY1C_HUMAN	P0DTE8	Alpha-amylase 1C (EC 3.2.1.1)	AMY1C; AMY1
TETN_HUMAN	P05452	Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)	CLEC3B; TNA
THBG_HUMAN	P05543	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	SERPINA7; TBG
HEP2_HUMAN	P05546	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1; HCF2
K1C18_MOUSE	P05784	"Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)"	Krt18; Kerd; Krt1-18
K2C8_HUMAN	P05787	"Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)"	KRT8; CYK8
GELS_HUMAN	P06396	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN
PLMN_BOVIN	P06868	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"	PLG
PROS_BOVIN	P07224	Vitamin K-dependent protein S	PROS1; PROS
TRY1_HUMAN	P07477	Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	PRSS1; TRP1; TRY1; TRYP1
PROF1_HUMAN	P07737	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1
K1C19_HUMAN	P08727	"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)"	KRT19
K2C7_HUMAN	P08729	"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)"	KRT7; SCL
K1C13_MOUSE	P08730	"Keratin, type I cytoskeletal 13 (47 kDa cytokeratin) (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"	Krt13; Krt1-13
K1C16_HUMAN	P08779	"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)"	KRT16; KRT16A
CO4A_HUMAN	P0C0L4	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]	C4A; CO4; CPAMD2
OSTP_HUMAN	P10451	Osteopontin (Bone sialoprotein 1) (Nephropontin) (Secreted phosphoprotein 1) (SPP-1) (Urinary stone protein) (Uropontin)	SPP1; BNSP; OPN; PSEC0156
K2C3_HUMAN	P12035	"Keratin, type II cytoskeletal 3 (65 kDa cytokeratin) (Cytokeratin-3) (CK-3) (Keratin-3) (K3) (Type-II keratin Kb3)"	KRT3
FA5_HUMAN	P12259	"Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]"	F5
FETUA_BOVIN	P12763	Alpha-2-HS-glycoprotein (Asialofetuin) (Fetuin-A)	AHSG; FETUA
K1C10_HUMAN	P13645	"Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)"	KRT10; KPP
K1C13_HUMAN	P13646	"Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"	KRT13
K1C13_HUMAN	P13646	"Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"	KRT13
K2C5_HUMAN	P13647	"Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)"	KRT5
CBPN_HUMAN	P15169	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	CPN1; ACBP
APOA1_BOVIN	P15497	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	APOA1
CLUS_BOVIN	P17697	Clusterin (Glycoprotein III) (GpIII) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]	CLU
K1C19_MOUSE	P19001	"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)"	Krt19; Krt1-19
K1C15_HUMAN	P19012	"Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)"	KRT15; KRTB
K2C4_HUMAN	P19013	"Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)"	KRT4; CYK4
ITIH2_HUMAN	P19823	Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH2; IGHEP2
ITIH1_HUMAN	P19827	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH1; IGHEP1
AMY2B_HUMAN	P19961	"Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)"	AMY2B
FILA_HUMAN	P20930	Filaggrin	FLG
FBLN1_HUMAN	P23142	Fibulin-1 (FIBL-1)	FBLN1; PP213
A2AP_BOVIN	P28800	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2; PLI
OSTP_BOVIN	P31096	Osteopontin (Bone sialoprotein 1) (Secreted phosphoprotein 1) (SPP-1)	SPP1; OPN
A1AT_BOVIN	P34955	Alpha-1-antiproteinase (Alpha-1-antitrypsin) (Alpha-1-proteinase inhibitor) (Serpin A1)	SERPINA1; PI
TSP2_HUMAN	P35442	Thrombospondin-2	THBS2; TSP2
K1C9_HUMAN	P35527	"Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)"	KRT9
K1C20_HUMAN	P35900	"Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)"	KRT20
PEDF_HUMAN	P36955	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)	SERPINF1; PEDF; PIG35
ANT3_BOVIN	P41361	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1; AT3
K2C6C_HUMAN	P48668	"Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)"	KRT6C; KRT6E
TSP3_HUMAN	P49746	Thrombospondin-3	THBS3; TSP3
COMP_HUMAN	P49747	Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5)	COMP
K2C6A_MOUSE	P50446	"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)"	Krt6a; Ker2; Krt2-6; Krt2-6a; Krt6
F12AI_BOVIN	P50448	Factor XIIa inhibitor (XIIaINH)	
LUM_HUMAN	P51884	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	LUM; LDC; SLRR2D
HBA_HUMAN	P69905	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA1;; HBA2
KRT83_HUMAN	P78385	"Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)"	KRT83; KRTHB3
KRT85_HUMAN	P78386	"Keratin, type II cuticular Hb5 (Hair keratin K2.12) (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)"	KRT85; KRTHB5
MT1X_HUMAN	P80297	Metallothionein-1X (MT-1X) (Metallothionein-IX) (MT-IX)	MT1X
APOA2_BOVIN	P81644	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Antimicrobial peptide BAMP-1) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	APOA2
K22O_HUMAN	Q01546	"Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)"	KRT76; KRT2B; KRT2P
APOE_BOVIN	Q03247	Apolipoprotein E (Apo-E)	APOE
K1C17_HUMAN	Q04695	"Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)"	KRT17
LUM_BOVIN	Q05443	Lumican (Corneal keratan sulfate proteoglycan 37B core protein) (Keratan sulfate proteoglycan) (KSPG)	LUM; LDC
Q05B55_BOVIN	Q05B55	IGK protein	IGK
ITIH3_HUMAN	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH3
TRFE_BOVIN	Q29443	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF
ITIH3_BOVIN	P56652	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	ITIH3
K2C80_MOUSE	Q0VBK2	"Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)"	Krt80; Kb20
ITIH1_BOVIN	Q0VCM5	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1)	ITIH1
KT33B_HUMAN	Q14525	"Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)"	KRT33B; HHA3-II; HKA3B; KRTHA3B
K1H2_HUMAN	Q14532	"Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2) (Keratin-32) (K32)"	KRT32; HHA2; HKA2; KRTHA2
KRT81_HUMAN	Q14533	"Keratin, type II cuticular Hb1 (Hair keratin K2.9) (Keratin, hair, basic, 1) (Keratin-81) (K81) (Metastatic lymph node 137 gene protein) (MLN 137) (Type II hair keratin Hb1) (Type-II keratin Kb21) (ghHKb1) (ghHb1)"	KRT81; KRTHB1; MLN137
ITIH4_HUMAN	Q14624	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4]	ITIH4; IHRP; ITIHL1; PK120; PRO1851
K1C28_BOVIN	Q148H6	"Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)"	KRT28
K2C72_HUMAN	Q14CN4	"Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)"	KRT72; K6IRS2; KB35; KRT6; KRT6IRS2
POSTN_HUMAN	Q15063	Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)	POSTN; OSF2
K1H1_HUMAN	Q15323	"Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)"	KRT31; HHA1; HKA1; KRTHA1
ITSN1_HUMAN	Q15811	Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17)	ITSN1; ITSN; SH3D1A
Q1A7A4_BOVIN	Q1A7A4	Complement component C5a	
Q1RMN8_BOVIN	Q1RMN8	"Immunoglobulin light chain, lambda gene cluster"	IGL@
C4BPA_BOVIN	Q28065	C4b-binding protein alpha chain (C4bp)	C4BPA
CFAH_BOVIN	Q28085	Complement factor H (H factor 1)	CFH; HF1
FA5_BOVIN	Q28107	Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5
Q28194_BOVIN	Q28194	Thrombospondin-1	
TRFE_BOVIN	Q29443	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF
CO7_BOVIN	Q29RQ1	Complement component C7	C7
Q2KIF2_BOVIN	Q2KIF2	Leucine-rich alpha-2-glycoprotein 1	LRG1
CBPB2_BOVIN	Q2KIG3	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2
TETN_BOVIN	Q2KIS7	Tetranectin (TN) (C-type lectin domain family 3 member B)	CLEC3B
KNG1_BOVIN	P01044	Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]	KNG1
CBPN_BOVIN	Q2KJ83	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit)	CPN1
Q2KJC7_BOVIN	Q2KJC7	"Periostin (Periostin variant 7) (Periostin, osteoblast specific factor)"	POSTN
A1BG_BOVIN	Q2KJF1	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG
CO3_BOVIN	Q2UVX4	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c (C3bc); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3
K2C73_HUMAN	Q86Y46	"Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)"	KRT73; K6IRS3; KB36; KRT6IRS3
Q3KNV1_HUMAN	Q3KNV1	KRT7 protein	KRT7
Q3KUS7_BOVIN	Q3KUS7	Complement factor B (EC 3.4.21.47) (C3/C5 convertase)	BF
Q3MHH8_BOVIN	Q3MHH8	Alpha-amylase (EC 3.2.1.1)	AMY2A
CO9_BOVIN	Q3MHN2	Complement component C9	C9
VTDB_BOVIN	Q3MHN5	Vitamin D-binding protein (DBP) (VDB) (Gc-globulin) (Group-specific component)	GC
HBBF_BOVIN	P02081	"Hemoglobin fetal subunit beta (Beta-globin, fetal) (Hemoglobin beta chain, fetal) (Hemoglobin gamma chain)"	
GELS_BOVIN	Q3SX14	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)	GSN
TPM2_BOVIN	Q5KR48	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	TPM2
FETA_BOVIN	Q3SZ57	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP
Q3SZH5_BOVIN	Q3SZH5	Angiotensinogen (Serpin A8)	AGT
A1AG_BOVIN	Q3SZR3	Alpha-1-acid glycoprotein (Orosomucoid) (OMD)	ORM1; AGP
HEMO_BOVIN	Q3SZV7	Hemopexin	HPX
ITIH4_BOVIN	Q3T052	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	ITIH4
ADIPO_BOVIN	Q3Y5Z3	"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1)"	ADIPOQ; ACRP30; APM1
G6PI_BOVIN	Q3ZBD7	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	GPI
Q3ZBS7_BOVIN	Q3ZBS7	Vitronectin	VTN
KRT35_MOUSE	Q497I4	"Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)"	Krt35; Krt1-24
FETUB_BOVIN	Q58D62	Fetuin-B	FETUB
